exposeId,counter,contacted_counter
36308971,159,32
41382802,22,15
42719277,100,24
43598187,14,3
45015552,8,4
47266049,12,4
48079421,73,15
48238869,16,9
49327117,67,17
50340421,17,9
51875348,18,1
52312826,10,1
53893939,5,1
56674052,10,2
57228501,109,35
57782150,6,0
58147844,18,9
58414377,15,4
58578126,71,9
58885794,10,1
60322677,10,3
61484586,5,3
62063612,50,11
64333521,1,0
64711905,3,0
64917514,31,5
65412965,49,13
65423695,4,1
65518785,93,15
65631447,23,3
65639271,9,0
65924341,11,1
66190059,6,0
66465341,5,1
66709044,38,9
66723169,4,0
66795258,60,18
67266528,3,0
67489611,4,1
67627497,3,1
67666232,1,0
67777211,10,2
67949517,2,1
67966973,12,2
68061187,44,10
68162184,2,1
68374016,2,0
68418717,42,4
68433027,16,0
68534605,37,12
68580230,1,0
68711685,15,4
68718145,39,5
68754940,13,1
69148102,86,21
69206251,12,3
69221896,28,7
69301780,8,3
69498535,14,2
69546787,7,1
69816772,6,1
70036225,6,0
70107815,69,25
70187221,13,3
70271462,8,2
70306009,3,0
70306355,15,4
70349240,10,2
70377978,60,17
70446206,8,1
70604728,2,0
70605552,5,0
70616408,3,0
70618183,6,0
70637611,22,6
70714462,19,6
70773214,25,5
70913981,12,2
71031087,13,1
71074273,43,12
71225187,1,0
71282900,1,1
71309272,12,2
71382612,10,0
71390905,16,3
71411854,3,1
71468396,5,1
71494288,10,2
71498277,4,1
71686587,14,3
71735953,25,3
71764960,8,2
71778490,7,0
71781076,1,0
71807932,5,1
71809268,4,0
71814237,1,0
71870237,9,2
71879757,2,1
71888120,22,9
71990379,5,0
71995256,2,0
71999579,4,1
72005739,14,2
72040448,6,3
72073552,20,3
72100471,2,1
72122470,6,0
72147284,17,2
72272290,2,0
72273294,12,3
72288832,67,11
72320395,9,2
72444920,15,3
72498702,4,0
72512914,17,5
72515146,44,5
72772148,10,1
72824787,3,2
72952246,15,0
72965133,1,0
73031772,13,2
73035701,1,1
73049437,10,1
73055849,6,1
73079664,14,8
73088783,46,8
73089130,5,1
73251520,3,1
73320309,3,0
73340959,15,6
73355046,11,1
73402677,49,12
73439630,5,1
73468580,9,4
73503922,39,8
73562818,51,11
73630969,6,4
73632168,5,0
73705956,5,0
73722010,11,3
73737211,1,1
73779045,9,0
73786178,2,0
73791364,24,3
73863501,8,4
73870464,4,0
73897710,2,2
73951577,9,2
74003090,1,0
74018298,26,8
74064643,6,2
74072032,2,0
74179485,18,4
74198972,9,2
74228661,16,3
74312656,1,0
74344110,19,8
74383323,1,0
74388215,9,2
74397385,3,0
74491990,3,0
74528959,11,3
74538456,14,1
74544549,31,10
74545262,2,0
74574219,3,1
74590725,4,0
74649175,3,0
74670664,42,10
74677803,4,2
74699661,15,4
74703520,1,0
74715308,2,0
74722928,2,1
74734486,15,4
74742584,1,0
74748569,15,2
74751678,2,0
74758773,9,3
74771371,5,0
74771715,5,0
74780868,1,0
74803553,8,2
74805030,13,3
74805530,1,0
74810975,6,0
74831288,3,1
74853427,9,4
74874468,5,1
74889986,2,2
74908695,1,1
74909892,6,0
74925177,1,1
74932371,17,3
74936136,1,0
74939927,3,1
74943885,15,3
74977411,4,1
74985840,1,0
74991585,13,1
75001399,2,1
75029698,1,1
75047878,22,0
75050104,30,8
75050105,5,3
75051374,3,0
75071326,2,0
75148069,3,0
75170583,4,2
75186951,7,3
75188208,10,2
75193433,3,0
75193910,3,0
75195241,57,16
75203681,5,1
75206546,3,1
75218564,2,0
75219232,1,0
75223420,1,0
75245182,5,2
75271482,2,0
75273472,4,0
75274218,6,1
75278067,2,0
75284727,1,0
75292208,2,1
75305360,5,2
75305409,7,1
75308023,8,3
75308739,19,5
75311142,9,1
75315507,5,1
75315510,19,8
75315513,7,0
75332774,3,0
75340819,1,0
75344108,6,1
75348029,3,0
75388404,5,2
75394706,5,0
75404588,3,0
75409846,4,2
75435857,1,0
75438161,10,0
75454552,6,1
75463793,6,0
75472261,8,4
75472642,14,3
75480601,4,1
75490072,2,0
75497896,5,2
75500230,10,2
75515313,5,1
75519512,6,1
75523315,4,1
75533679,23,6
75543235,3,1
75545643,1,1
75546535,25,12
75546755,1,0
75552123,4,1
75555731,5,0
75562326,6,4
75566603,6,4
75568909,3,0
75582439,3,1
75592984,7,3
75594596,4,0
75597111,1,0
75597834,3,0
75633345,3,0
75635388,2,1
75643140,6,1
75655339,1,1
75658264,8,2
75680038,5,2
75680561,3,3
75697966,4,0
75724880,11,2
75731862,5,2
75733136,1,0
75733846,2,0
75738708,4,1
75741573,1,0
75743622,5,3
75759349,5,1
75759966,8,0
75764100,16,6
75766366,4,2
75770309,2,0
75782387,5,1
75791806,3,3
75792448,6,2
75794547,3,0
75805747,6,1
75806266,17,6
75806294,5,0
75806298,5,1
75806955,4,1
75809948,15,5
75832702,3,2
75834973,4,2
75837598,11,5
75839234,1,0
75839293,5,1
75839305,1,0
75843809,9,1
75847689,2,0
75850146,1,0
75854807,2,0
75857568,1,0
75860448,1,0
75864209,25,5
75875574,4,0
75878225,1,0
75881340,2,0
75897581,2,2
75898128,4,0
75900378,1,1
75903977,2,0
75919158,1,0
75926715,1,1
75932752,2,0
75935690,8,4
75936476,5,1
75936571,2,1
75937338,2,1
75940830,1,1
75948498,3,1
75950826,2,0
75953822,6,1
75964248,7,2
75983176,1,0
75993678,1,0
75994096,2,2
76006395,2,0
76007965,5,1
76010758,1,0
76018265,7,2
76018997,1,1
76022134,1,0
76028237,9,5
76049122,3,0
76056977,4,1
76058693,1,1
